Brand,Names,Prices,Url
Hp,"Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15' Windows 10","₦ 129,000 ",https://www.jumia.com.ng/hp-notebook-15-intel-core-i3-8gb-ram-1tb-hdd-32gb-flashmouseusb-light-for-keyboard-15-windows-10-43757058.html
Hp,32GB Pendrive Flash Drive USB 2.0,"₦ 2,750 ",https://www.jumia.com.ng/hp-32gb-pendrive-flash-drive-usb-2.0-24946924.html
Apple,"Macbook Pro 15.4"" 2.9GHZ - 1TB SSD - 32GB Ram - Core I9 - Model 2018 Touch Bar (MR952LL/A)","₦ 1,700,000 ",https://www.jumia.com.ng/macbook-pro-15.4-2.9ghz-1tb-ssd-32gb-ram-core-i9-model-2018-touch-bar-mr952lla-apple-mpg1192849.html
Hp,Stream 11 Intel 64GB Emmc /4GB Ram Wins 10s+32gb Flash Drive,"₦ 64,800 ",https://www.jumia.com.ng/hp-stream-11-intel-64gb-emmc-4gb-ram-wins-10s32gb-flash-drive-31541697.html
Bestrunner,32GB USB 2.0 Flash Memory Stick Storage Thumb Pen Drive,"₦ 1,669 ",https://www.jumia.com.ng/bestrunner-32gb-usb-2.0-flash-memory-stick-storage-thumb-pen-drive-36891746.html
Apple,"MacBook Pro 15"" 2.9GHz 6-core 8th Gen Intel Core I9 Processor, 2TB, 16GB RAM, Gray (Mid 2018)","₦ 1,700,000 ",https://www.jumia.com.ng/apple-macbook-pro-15-2.9ghz-6-core-8th-gen-intel-core-i9-processor-2tb-16gb-ram-gray-mid-2018-36806142.html
SanDisk,32GB Cruzer Spark Flash Drive,"₦ 2,250 ",https://www.jumia.com.ng/sandisk-32gb-cruzer-spark-flash-drive-34253346.html
Apple,"Macbook Pro 15.4"" 2.4GHZ - 1TB SSD - 32GB Ram - Core I9 - Model 2019 Touch Bar (MV942LL/A)","₦ 1,500,000 ",https://www.jumia.com.ng/apple-macbook-pro-15.4-2.4ghz-1tb-ssd-32gb-ram-core-i9-model-2019-touch-bar-mv942lla-40050498.html
Apple,"MacBook Pro 2.8GHZ Touch Bar Intel Core I7 Quad-Core (16GB,2TB HDD)SPECIAL EDITION 15.4-Inch Mac OS Laptop - Space Grey 2017YR 2.8GHZ","₦ 1,500,000 ",https://www.jumia.com.ng/apple-macbook-pro-2.8ghz-touch-bar-intel-core-i7-quad-core-16gb2tb-hddspecial-edition-15.4-inch-mac-os-laptop-space-grey-2017yr-2.8ghz-25278700.html
Hp,"Notebook 15-rb006nia AMD Dual Core A4-9120 500GB HDD, 4GB RAM, 15.6"" FREE DOS Laptop + BAG","₦ 76,490 ",https://www.jumia.com.ng/hp-notebook-15-rb006nia-amd-dual-core-a4-9120-500gb-hdd-4gb-ram-15.6-free-dos-laptop-bag-40743665.html
Apple,2019 Macbook Pro 15.4 15’’ 2.40ghz 32gb 1TB I9 Vega 20,"₦ 1,300,000 ",https://www.jumia.com.ng/apple-2019-macbook-pro-15.4-15-2.40ghz-32gb-1tb-i9-vega-20-39522214.html
STUDIO,MICROSOFT SURFACE STUDIO INTEL CORE I7 16GB RAM 1TB NVIDIA GEFORCE 28’’,"₦ 1,430,000 ",https://www.jumia.com.ng/microsoft-surface-studio-intel-core-i7-16gb-ram-1tb-nvidia-geforce-28-studio-mpg295361.html
