Brand,Names,Prices,Url
Coolbell,CB-3308 15.6″-inch Back Pack Laptop Bag - Black,"₦ 9,990 ",https://www.jumia.com.ng/coolbell-cb-3308-15.6-inch-back-pack-laptop-bag-black-44631127.html
Hp,Pavilion X360 14 Touch Core I5 8GB RAM-1TB HDD-backlit Keyboard-win 10,"₦ 215,000 ",https://www.jumia.com.ng/hp-pavilion-x360-14-touch-core-i5-8gb-ram-1tb-hdd-backlit-keyboard-win-10-44260038.html
Apple,MacBook Pro 16inch  CoreI7/512GB/16gb - Touch Bar - New 2019,"₦ 800,000 ",https://www.jumia.com.ng/apple-macbook-pro-16inch-corei7512gb16gb-touch-bar-new-2019-44684254.html
Microsoft,Office 365 Lifetime Account Subscription / 5 Devices / 5TB OneDrive,"₦ 2,360 ",https://www.jumia.com.ng/microsoft-office-365-lifetime-account-subscription-5-devices-5tb-onedrive-44278878.html
Asus,Vivobook X541SA-XO632T Intel Celeron  N3060 (4GB RAM 500GB HDD) 15.6-Inch Windows 10 Laptop - Black,"₦ 76,500 ",https://www.jumia.com.ng/asus-vivobook-x541sa-xo632t-intel-celeron-n3060-4gb-ram-500gb-hdd-15.6-inch-windows-10-laptop-black-36234759.html
Hp,DeskJet 2630 All-in-One Wireless Printer - V1N03C,"₦ 12,700 ",https://www.jumia.com.ng/hp-deskjet-2630-all-in-one-wireless-printer-v1n03c-41744769.html
Hp,"Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15.6-Inch Windows 10 Black Colour","₦ 122,000 ",https://www.jumia.com.ng/hp-notebook-15-intel-core-i3-8gb-ram-1tb-hdd-32gb-flashmouseusb-light-for-keyboard-15.6-inch-windows-10-black-colour-42160459.html
Bestrunner,128GB  Flash Memory Stick Drive OTG For Phone / PC,"₦ 2,000 ",https://www.jumia.com.ng/bestrunner-128gb-flash-memory-stick-drive-otg-for-phone-pc-36891768.html
DELL,Alienware 15 R5 Core I9 1TB 512gb 16gb 8gb Nvidia 1080 Eye-Tracking Windows 10 8th Gen,"₦ 725,000 ",https://www.jumia.com.ng/dell-alienware-15-r5-core-i9-1tb-512gb-16gb-8gb-nvidia-1080-eye-tracking-windows-10-8th-gen-43476274.html
,LTE 4G USB Modem With Wi-fi Hot-spot & Micro SD Card Slot,"₦ 7,000 ",https://www.jumia.com.ng/generic-lte-4g-usb-modem-with-wi-fi-hot-spot-micro-sd-card-slot-42879036.html
Apple,Mac-book Pro 2017 16gb 256ssd Core I7 Quality Brand,"₦ 730,000 ",https://www.jumia.com.ng/apple-mac-book-pro-2017-16gb-256ssd-core-i7-quality-brand-25126505.html
Lenovo,"Ideapad S145 Intel Celeron 4GB RAM 1TB HDD 15.6"" Win 10","₦ 79,900 ",https://www.jumia.com.ng/lenovo-ideapad-s145-intel-celeron-4gb-ram-1tb-hdd-15.6-win-10-44488929.html
Microsoft,Windows 10 (Operating System DVD) PRO 64/32 Bit Full Version,"₦ 2,500 ",https://www.jumia.com.ng/windows-10-operating-system-dvd-pro-6432-bit-full-version-microsoft-mpg258009.html
Bestrunner,128GB Flash Memory Stick Drive OTG For Phone / PC,"₦ 1,969 ",https://www.jumia.com.ng/bestrunner-128gb-flash-memory-stick-drive-otg-for-phone-pc-36891779.html
DELL,"XPS 15 9570:Intel Core I9-8950HK, 2TB SSD/32GB,4GB NVIDIA,4K  Win10","₦ 645,000 ",https://www.jumia.com.ng/dell-xps-15-9570intel-core-i9-8950hk-2tb-ssd32gb4gb-nvidia4k-win10-43589406.html
SanDisk,Sandisk Ultra Dual M3.0 OTG Flash Drive 64GB,"₦ 4,100 ",https://www.jumia.com.ng/sandisk-sandisk-ultra-dual-m3.0-otg-flash-drive-64gb-29544401.html
Lenovo,Ideapad 4GBRAM/500 HDD Intel Celeron Dual Core Windows 10 +free Mouse,"₦ 84,990 ",https://www.jumia.com.ng/lenovo-ideapad-4gbram500-hdd-intel-celeron-dual-core-windows-10-free-mouse-35718982.html
Apple,Macbook Air 13.3 Inches 8GB RAM 256GB 2017,"₦ 499,999 ",https://www.jumia.com.ng/macbook-air-13.3-inches-8gb-ram-256gb-2017-apple-mpg286889.html
Transcend,1TB USB 3.1 StoreJet Shock Resistant Portable Hard Drive- Black,"₦ 20,790 ",https://www.jumia.com.ng/transcend-1tb-usb-3.1-storejet-shock-resistant-portable-hard-drive-black-13431866.html
SanDisk,16GB Ultra OTG Dual USB Flash Drive,"₦ 2,150 ",https://www.jumia.com.ng/16gb-ultra-otg-dual-usb-flash-drive-1-unit-per-customer-sandisk-mpg257081.html
Apple,MacBook Pro 13.3 SILVER/1.4GHZ/256GB - GBR - NEW 2019 MODEL,"₦ 620,750 ",https://www.jumia.com.ng/apple-macbook-pro-13.3-silver1.4ghz256gb-gbr-new-2019-model-44279191.html
Western Digital,500gb External Harddrive WD,"₦ 8,999 ",https://www.jumia.com.ng/500gb-external-harddrive-wd-western-digital-wd-mpg303589.html
Microsoft,"Surface Pro 5 (Intel Core I7, 8GB RAM, 256GB SSD)","₦ 410,000 ",https://www.jumia.com.ng/microsoft-surface-pro-5-intel-core-i7-8gb-ram-256gb-ssd-25914990.html
New Age,32GB Omni OTG Flash Drive Disk With Multi Card Reader,"₦ 2,999 ",https://www.jumia.com.ng/32gb-omni-otg-flash-drive-disk-with-multi-card-reader-new-age-mpg1197219.html
Seagate,Backup Plus Slim 1TB Portable Storage,"₦ 16,500 ",https://www.jumia.com.ng/seagate-backup-plus-slim-1tb-portable-storage-22582685.html
Microsoft,WINDOWS 10 Pro 64&32 BIT  DELIVERY GENUINE PRODUCT KEY,"₦ 2,600 ",https://www.jumia.com.ng/microsoft-windows-10-pro-6432-bit-delivery-genuine-product-key-45072887.html
Hp,SPECTRA 15 CORE I7  8TH  GENERATION 512SSD 16GB WINDOWS 10,"₦ 490,000 ",https://www.jumia.com.ng/hp-spectra-15-core-i7-8th-generation-512ssd-16gb-windows-10-44053225.html
Hp,"Envy X360 15 Intel Core I7 8550U (16GB RAM,512SSD,4GB NVIDIA GeForce +1TB External HDD) Wins 10 + Bag","₦ 390,000 ",https://www.jumia.com.ng/hp-envy-x360-15-intel-core-i7-8550u-16gb-ram512ssd4gb-nvidia-geforce-1tb-external-hdd-wins-10-bag-31500587.html
Canon,"Pixma TS3140 AIO Wireless Printer Print, Scan & Copy - Black","₦ 13,990 ",https://www.jumia.com.ng/canon-pixma-ts3140-aio-wireless-printer-print-scan-copy-black-27788489.html
Hp,15 Intel Celeron QuadCore(500GB HDD 4GB RAM)+ Free 32GB Flash  Wins 10,"₦ 82,800 ",https://www.jumia.com.ng/hp-15-intel-celeron-quadcore500gb-hdd-4gb-ram-free-32gb-flash-wins-10-25589734.html
Eaget,Eaget U96 32GB USB 3.0 Metal OTG Flash Drive,"₦ 2,990 ",https://www.jumia.com.ng/eaget-eaget-u96-32gb-usb-3.0-metal-otg-flash-drive-41426796.html
XPrinter,XPrinter Mobile Printer 58mm Paper USB+Bluetooth XP-P300,"₦ 19,000 ",https://www.jumia.com.ng/xprinter-xprinter-mobile-printer-58mm-paper-usbbluetooth-xp-p300-44161475.html
